donor_id,name,gender,dob,age,blood_group,phone,neighbourhood,lat,lng,last_donation_date,days_since_last_donation,total_donations,times_contacted_last_30d,response_rate
D0203,Aiman Memon,Female,2000-08-17,26,O+,+923192414513,PECHS,24.86873,67.05225,2026-03-11,87,1,1,0.66
D0204,Fatima Raza,Female,1977-04-03,49,B+,+923262088975,Korangi,24.83203,67.12696,2026-04-07,60,4,0,0.59
D0205,Waqas Qureshi,Male,1984-11-13,42,O+,+923179306247,North Nazimabad,24.9424,67.03503,2025-09-09,270,3,1,0.85
D0206,Zain Malik,Male,1997-03-12,29,O+,+923225212062,Nazimabad,24.91587,67.02795,2026-04-06,61,1,3,0.71
D0207,Bilal Nawaz,Male,1999-01-06,27,B+,+923495580271,Clifton,24.8142,67.02773,2026-06-04,2,3,1,0.84
D0208,Yasir Qureshi,Male,1969-11-17,57,B+,+923040845084,Liaquatabad,24.91714,67.04432,2026-04-19,48,1,3,0.85
D0209,Hassan Jamali,Male,2006-09-17,20,A+,+923482381739,North Nazimabad,24.94157,67.02913,2025-07-31,310,6,2,0.68
D0210,Arsalan Lodhi,Male,1972-02-14,54,B+,+923048019408,Orangi Town,24.96038,66.99784,2026-03-22,76,4,2,0.44
D0211,Komal Rizvi,Female,1985-02-05,41,O+,+923459075919,Malir,24.88727,67.20587,2024-04-25,772,2,2,0.84
D0212,Owais Khokhar,Male,1983-12-05,43,AB+,+923123459168,Nazimabad,24.91795,67.02872,2024-04-21,776,5,1,0.42
D0213,Maryam Butt,Female,1970-07-03,56,B+,+923363773642,Korangi,24.8399,67.13662,2025-06-15,356,3,5,0.95
D0214,Arsalan Awan,Male,1990-04-02,36,A+,+923114840043,Gulberg,24.93038,67.04356,2025-06-05,366,1,0,0.82
D0215,Shahzaib Siddiqui,Male,2003-09-10,23,A+,+923240372869,Bahadurabad,24.89096,67.06035,2024-02-26,831,3,0,0.82
D0216,Sidra Abbasi,Female,1974-10-09,52,A+,+923271585593,PECHS,24.87352,67.07048,2025-07-16,325,2,0,0.28
D0217,Owais Awan,Male,1974-01-23,52,AB+,+923220204415,Korangi,24.83789,67.13157,2025-12-07,181,1,1,0.75
D0218,Areeba Lodhi,Female,1993-05-07,33,B+,+923026089818,Korangi,24.85107,67.13054,2025-05-30,372,3,0,0.2
D0219,Mahnoor Butt,Female,1997-09-09,29,O+,+923382580645,F.B. Area,24.9323,67.07118,2025-06-24,347,4,0,0.61
D0220,Zain Farooqi,Male,1971-02-11,55,O+,+923273262903,Malir,24.88549,67.19931,2026-03-20,78,2,1,0.51
